Ticket_ID,Customer_ID,Ticket_Date,Month,Month_Number,Gender,Region,Customer_Type,Department,Issue_Type,Channel,Agent_ID,Ticket_Status,Resolution_Time_Days,SLA_Target_Days,SLA_Breached,Escalated,CSAT_Rating,Priority,Resolved_Flag,Pending_Flag,Escalated_Flag,SLA_Breach_Flag
TKT10030,CUST9849,18-02-2025,Feb,2,Female,Central,Existing,IT Support,Billing Query,Website,AG110,In Progress,7.2,5,Yes,No,5,Low,0,1,0,1
TKT10031,CUST3053,28-02-2025,Feb,2,Female,Central,Existing,Sales,Refund Request,Chat,AG123,Escalated,7.4,5,Yes,Yes,4,Low,0,0,1,1
TKT10032,CUST1725,19-06-2025,Jun,6,Female,South,Existing,Product,Billing Query,Phone,AG141,Resolved,4.1,5,No,No,4,High,1,0,0,0
TKT10033,CUST2814,07-07-2025,Jul,7,Male,Central,Existing,Delivery,Technical Issue,App,AG141,Resolved,2.4,5,No,No,3,Low,1,0,0,0
TKT10034,CUST1717,28-09-2025,Sep,9,Female,East,Existing,Product,Billing Query,Email,AG110,In Progress,1.5,5,No,No,5,High,0,1,0,0
TKT10035,CUST7548,09-07-2025,Jul,7,Female,North,Premium,Finance,Refund Request,Phone,AG121,Resolved,4.7,5,No,No,4,Critical,1,0,0,0
TKT10036,CUST2012,24-06-2025,Jun,6,Female,East,New,Billing,Refund Request,Website,AG118,Resolved,4.8,5,No,No,3,High,1,0,0,0
TKT10037,CUST5922,20-02-2025,Feb,2,Female,West,Existing,Product,Product Complaint,Phone,AG126,Resolved,4.6,5,No,No,4,Medium,1,0,0,0
TKT10038,CUST5471,30-12-2025,Dec,12,Female,South,New,Delivery,Product Complaint,Phone,AG117,Resolved,4.4,5,No,No,4,Low,1,0,0,0
TKT10039,CUST7940,24-02-2025,Feb,2,Male,South,New,IT Support,Technical Issue,Email,AG137,Resolved,7.6,5,Yes,Yes,2,Medium,1,0,1,1
TKT10040,CUST3965,01-09-2025,Sep,9,Male,Central,New,Billing,Billing Query,Website,AG102,Resolved,7.4,5,Yes,Yes,3,Low,1,0,1,1
TKT10041,CUST8910,16-11-2025,Nov,11,Male,West,Existing,IT Support,Product Complaint,Email,AG109,Resolved,3.5,5,No,No,4,Low,1,0,0,0
TKT10042,CUST6929,11-05-2025,May,5,Female,South,Existing,Finance,Account Update,Phone,AG104,Resolved,3.6,3,Yes,No,4,Medium,1,0,0,1
TKT10043,CUST3363,03-11-2025,Nov,11,Male,North,New,Delivery,Technical Issue,Chat,AG102,Resolved,5.5,5,Yes,No,5,Medium,1,0,0,1
TKT10044,CUST7854,15-05-2025,May,5,Male,East,New,Delivery,Delivery Delay,Chat,AG142,Resolved,4.4,5,No,No,4,Low,1,0,0,0
TKT10045,CUST8984,21-01-2025,Jan,1,Male,North,New,Product,Technical Issue,App,AG102,In Progress,7.7,5,Yes,No,3,Medium,0,1,0,1
TKT10046,CUST3350,25-11-2025,Nov,11,Female,Central,New,Delivery,Billing Query,Chat,AG142,Pending,,5,Yes,No,2,Low,0,1,0,1
TKT10047,CUST2881,16-06-2025,Jun,6,Female,East,Premium,IT Support,Delivery Delay,Phone,AG112,Resolved,7.5,5,Yes,Yes,3,Low,1,0,1,1
TKT10048,CUST6197,01-10-2025,Oct,10,Male,East,New,IT Support,Refund Request,Chat,AG131,Resolved,4.8,5,No,No,4,Medium,1,0,0,0
TKT10049,CUST5131,30-03-2025,Mar,3,Female,Central,New,Sales,Delivery Delay,Chat,AG106,Resolved,5.8,5,Yes,Yes,4,Critical,1,0,1,1
TKT10050,CUST9044,12-11-2025,Nov,11,Male,East,Premium,Sales,Product Complaint,Chat,AG132,Resolved,4.2,5,No,No,4,Low,1,0,0,0
TKT10051,CUST5651,14-01-2025,Jan,1,Female,South,Existing,IT Support,Delivery Delay,Website,AG147,Resolved,6.6,5,Yes,No,4,Medium,1,0,0,1
TKT10052,CUST1935,30-08-2025,Aug,8,Male,North,Existing,IT Support,Billing Query,Email,AG123,Pending,,5,Yes,Yes,1,High,0,1,1,1
TKT10053,CUST8754,22-09-2025,Sep,9,Male,West,Existing,Sales,Account Update,Website,AG144,Pending,,3,Yes,No,2,High,0,1,0,1
TKT10054,CUST6968,12-12-2025,Dec,12,Female,South,New,HR,Billing Query,Chat,AG101,Resolved,3.4,5,No,No,3,Medium,1,0,0,0
TKT10055,CUST1242,22-02-2025,Feb,2,Male,South,Existing,Product,Delivery Delay,Chat,AG139,Resolved,5.9,5,Yes,Yes,3,Medium,1,0,1,1
TKT10056,CUST3035,06-12-2025,Dec,12,Female,South,New,Sales,Delivery Delay,Chat,AG108,Resolved,4.2,5,No,No,5,Medium,1,0,0,0
TKT10057,CUST3657,02-04-2025,Apr,4,Female,East,Existing,Delivery,Refund Request,Chat,AG111,Resolved,4.1,5,No,No,4,Medium,1,0,0,0
TKT10058,CUST7502,21-09-2025,Sep,9,Male,East,Existing,Finance,Refund Request,App,AG111,Resolved,7.3,5,Yes,No,4,Medium,1,0,0,1
TKT10059,CUST6599,04-02-2025,Feb,2,Male,Central,Existing,IT Support,Delivery Delay,Email,AG104,Resolved,5.7,5,Yes,No,4,High,1,0,0,1
TKT10060,CUST3381,25-07-2025,Jul,7,Female,West,Premium,Delivery,Billing Query,Chat,AG133,Resolved,6.3,5,Yes,No,3,Low,1,0,0,1
TKT10061,CUST7360,22-03-2025,Mar,3,Male,Central,New,Delivery,Technical Issue,Phone,AG138,In Progress,8.5,5,Yes,No,5,Critical,0,1,0,1
TKT10062,CUST2539,19-02-2025,Feb,2,Female,Central,New,Finance,General Query,Phone,AG134,Resolved,1.1,3,No,No,4,High,1,0,0,0
TKT10063,CUST6402,26-12-2025,Dec,12,Male,East,Existing,IT Support,Technical Issue,Chat,AG143,Resolved,8.3,5,Yes,No,3,Medium,1,0,0,1
TKT10064,CUST4715,02-01-2025,Jan,1,Male,North,Premium,IT Support,Technical Issue,Phone,AG148,Resolved,7.3,5,Yes,Yes,4,Low,1,0,1,1
TKT10065,CUST3646,23-02-2025,Feb,2,Male,West,Premium,Billing,Product Complaint,Email,AG126,Resolved,3.3,5,No,No,5,Medium,1,0,0,0
TKT10066,CUST1904,16-04-2025,Apr,4,Male,West,Premium,Billing,Delivery Delay,Website,AG139,Resolved,6.6,5,Yes,No,3,High,1,0,0,1
TKT10067,CUST5675,17-09-2025,Sep,9,Female,West,Existing,IT Support,Technical Issue,Email,AG133,Resolved,6.2,5,Yes,No,3,Low,1,0,0,1
TKT10068,CUST9411,06-11-2025,Nov,11,Male,West,New,Billing,Billing Query,Phone,AG132,Resolved,4.5,5,No,No,4,Low,1,0,0,0
TKT10069,CUST1924,10-07-2025,Jul,7,Female,Central,Premium,Delivery,Technical Issue,Phone,AG107,Escalated,9.5,5,Yes,Yes,3,Low,0,0,1,1
TKT10070,CUST7019,06-08-2025,Aug,8,Male,South,New,IT Support,Product Complaint,App,AG147,Resolved,4.2,5,No,No,4,Low,1,0,0,0
TKT10071,CUST3313,13-02-2025,Feb,2,Female,East,Existing,IT Support,Billing Query,Email,AG149,In Progress,6,5,Yes,No,5,Critical,0,1,0,1
TKT10072,CUST6649,11-06-2025,Jun,6,Female,East,New,Product,Refund Request,Email,AG123,Resolved,2.4,5,No,No,4,Critical,1,0,0,0
TKT10073,CUST8235,21-07-2025,Jul,7,Male,South,Existing,IT Support,Refund Request,Phone,AG132,Resolved,4.9,5,No,No,5,Low,1,0,0,0
TKT10074,CUST3038,27-09-2025,Sep,9,Male,Central,Existing,IT Support,General Query,Email,AG110,Pending,,3,Yes,Yes,2,Low,0,1,1,1
TKT10075,CUST5658,17-12-2025,Dec,12,Male,North,Existing,Billing,Product Complaint,Website,AG144,Resolved,6,5,Yes,No,3,High,1,0,0,1
TKT10076,CUST8204,31-10-2025,Oct,10,Female,South,New,Delivery,Technical Issue,App,AG149,Pending,,5,Yes,Yes,1,Medium,0,1,1,1
TKT10077,CUST5086,28-09-2025,Sep,9,Female,South,Existing,IT Support,Billing Query,Email,AG108,Resolved,7.1,5,Yes,No,4,Medium,1,0,0,1
TKT10078,CUST6974,03-08-2025,Aug,8,Female,North,Existing,Billing,Technical Issue,App,AG118,Resolved,7.4,5,Yes,No,5,Low,1,0,0,1
TKT10079,CUST5340,09-09-2025,Sep,9,Male,North,Existing,Finance,Technical Issue,Email,AG106,Resolved,7.5,5,Yes,No,3,Medium,1,0,0,1
TKT10080,CUST9488,09-07-2025,Jul,7,Male,South,Existing,Sales,Delivery Delay,Website,AG150,Resolved,5.5,5,Yes,Yes,3,Medium,1,0,1,1
TKT10081,CUST2058,23-10-2025,Oct,10,Male,North,New,Billing,Delivery Delay,Chat,AG124,Resolved,4.6,5,No,No,5,High,1,0,0,0
TKT10082,CUST8209,01-08-2025,Aug,8,Female,East,Premium,IT Support,Technical Issue,Chat,AG109,Resolved,6,5,Yes,No,4,Low,1,0,0,1
TKT10083,CUST2001,27-07-2025,Jul,7,Male,Central,New,Billing,Technical Issue,Chat,AG139,Resolved,9.3,5,Yes,Yes,2,High,1,0,1,1
TKT10084,CUST1271,25-08-2025,Aug,8,Male,South,New,Finance,Billing Query,App,AG117,Resolved,2.3,5,No,No,4,Medium,1,0,0,0
TKT10085,CUST5616,04-12-2025,Dec,12,Male,West,Existing,Delivery,Delivery Delay,Website,AG146,Pending,,5,Yes,Yes,2,Low,0,1,1,1
TKT10086,CUST2174,22-02-2025,Feb,2,Female,Central,New,IT Support,Account Update,Phone,AG139,Resolved,6.9,3,Yes,No,4,Medium,1,0,0,1
TKT10087,CUST3933,07-10-2025,Oct,10,Female,South,New,Billing,Account Update,Email,AG103,Resolved,6.5,3,Yes,No,3,Medium,1,0,0,1
TKT10088,CUST3917,05-08-2025,Aug,8,Female,East,New,Finance,Refund Request,App,AG119,Resolved,6.6,5,Yes,Yes,2,Medium,1,0,1,1
TKT10089,CUST3220,09-09-2025,Sep,9,Female,North,Premium,IT Support,Product Complaint,Email,AG117,Resolved,4.9,5,No,No,5,High,1,0,0,0
TKT10090,CUST5994,07-07-2025,Jul,7,Female,Central,New,Product,Product Complaint,Phone,AG134,Pending,,5,Yes,No,3,Low,0,1,0,1
TKT10091,CUST4968,10-02-2025,Feb,2,Female,North,New,IT Support,Billing Query,App,AG145,Pending,,5,Yes,No,3,Medium,0,1,0,1
TKT10092,CUST3212,06-06-2025,Jun,6,Female,Central,Existing,IT Support,Delivery Delay,App,AG136,Resolved,7.2,5,Yes,No,4,Medium,1,0,0,1
TKT10093,CUST3939,15-01-2025,Jan,1,Male,South,Premium,Delivery,Billing Query,Email,AG131,Escalated,9.4,5,Yes,Yes,3,High,0,0,1,1
TKT10094,CUST6480,28-10-2025,Oct,10,Male,North,Premium,IT Support,Billing Query,App,AG113,Resolved,6.2,5,Yes,No,3,Low,1,0,0,1
TKT10095,CUST2990,06-03-2025,Mar,3,Male,Central,Premium,HR,Delivery Delay,Email,AG118,In Progress,5.4,5,Yes,Yes,2,High,0,1,1,1
TKT10096,CUST3644,11-12-2025,Dec,12,Male,West,New,Delivery,Billing Query,Phone,AG120,In Progress,4.7,5,No,No,5,Medium,0,1,0,0
TKT10097,CUST7468,23-11-2025,Nov,11,Male,North,Premium,Sales,Account Update,Email,AG125,Resolved,4.6,3,Yes,Yes,4,Low,1,0,1,1
TKT10098,CUST3925,09-01-2025,Jan,1,Male,West,Existing,IT Support,Refund Request,Email,AG134,Resolved,6.8,5,Yes,Yes,5,High,1,0,1,1
TKT10099,CUST8867,10-12-2025,Dec,12,Female,Central,Existing,Sales,Technical Issue,Email,AG136,Resolved,6.8,5,Yes,Yes,4,Critical,1,0,1,1
TKT10100,CUST7801,09-05-2025,May,5,Female,Central,New,IT Support,Technical Issue,App,AG142,Resolved,5.4,5,Yes,No,3,High,1,0,0,1
TKT10101,CUST9243,16-05-2025,May,5,Female,West,Existing,IT Support,Product Complaint,Chat,AG149,In Progress,7,5,Yes,No,3,High,0,1,0,1
TKT10102,CUST4768,04-03-2025,Mar,3,Male,West,Premium,Billing,Billing Query,Email,AG122,Resolved,2.6,5,No,No,4,Medium,1,0,0,0
TKT10103,CUST2230,19-05-2025,May,5,Male,Central,Premium,Billing,Refund Request,Phone,AG114,In Progress,5.2,5,Yes,Yes,3,High,0,1,1,1
TKT10104,CUST7362,22-03-2025,Mar,3,Female,North,New,IT Support,Delivery Delay,Email,AG101,Resolved,6.6,5,Yes,Yes,4,High,1,0,1,1
TKT10105,CUST4462,12-06-2025,Jun,6,Male,South,Existing,IT Support,Billing Query,App,AG123,Resolved,4.5,5,No,No,4,Low,1,0,0,0
TKT10106,CUST9320,16-10-2025,Oct,10,Female,North,Existing,Billing,Refund Request,Email,AG132,Resolved,5.5,5,Yes,No,3,Low,1,0,0,1
TKT10107,CUST9758,18-09-2025,Sep,9,Male,West,Existing,Delivery,Technical Issue,Website,AG145,Resolved,5.9,5,Yes,Yes,4,Medium,1,0,1,1
TKT10108,CUST7726,19-08-2025,Aug,8,Female,Central,Existing,Product,Technical Issue,App,AG141,Resolved,8.1,5,Yes,No,5,High,1,0,0,1
TKT10109,CUST7269,10-02-2025,Feb,2,Female,South,New,Finance,Product Complaint,Website,AG121,Resolved,6.4,5,Yes,No,4,Low,1,0,0,1
TKT10110,CUST5593,28-01-2025,Jan,1,Female,South,Existing,Billing,General Query,Chat,AG146,Resolved,5.6,3,Yes,No,4,Medium,1,0,0,1
TKT10111,CUST5522,15-05-2025,May,5,Female,South,Existing,Billing,Billing Query,Email,AG148,Resolved,6.5,5,Yes,No,4,Low,1,0,0,1
TKT10112,CUST3883,20-07-2025,Jul,7,Male,Central,New,IT Support,Billing Query,Email,AG109,Resolved,3.3,5,No,No,4,Critical,1,0,0,0
TKT10113,CUST3148,24-11-2025,Nov,11,Female,Central,New,IT Support,General Query,Website,AG148,Pending,,3,Yes,Yes,4,Medium,0,1,1,1
TKT10114,CUST8246,25-09-2025,Sep,9,Female,North,New,IT Support,Account Update,Chat,AG113,Resolved,2.7,3,No,No,4,Medium,1,0,0,0
TKT10115,CUST1786,02-02-2025,Feb,2,Female,West,New,IT Support,Account Update,Email,AG133,Resolved,5.5,3,Yes,Yes,4,Medium,1,0,1,1
TKT10116,CUST8055,17-02-2025,Feb,2,Male,West,Existing,Sales,Product Complaint,Website,AG136,Resolved,5.1,5,Yes,Yes,4,Low,1,0,1,1
TKT10117,CUST3713,03-03-2025,Mar,3,Female,West,New,Sales,Billing Query,App,AG141,Resolved,6,5,Yes,Yes,2,Low,1,0,1,1
TKT10118,CUST5825,04-08-2025,Aug,8,Female,South,Existing,Billing,Product Complaint,Chat,AG112,Resolved,5.1,5,Yes,No,5,Medium,1,0,0,1
TKT10119,CUST2299,20-10-2025,Oct,10,Female,South,Existing,Finance,Refund Request,Email,AG102,Resolved,6,5,Yes,No,3,High,1,0,0,1
TKT10120,CUST1277,09-04-2025,Apr,4,Female,North,Existing,Delivery,Delivery Delay,Website,AG136,In Progress,4.9,5,No,No,5,Low,0,1,0,0
TKT10121,CUST1534,21-06-2025,Jun,6,Female,North,Existing,Product,Delivery Delay,Email,AG103,Resolved,7.8,5,Yes,Yes,2,High,1,0,1,1
TKT10122,CUST8670,26-12-2025,Dec,12,Male,Central,Existing,IT Support,Technical Issue,Chat,AG114,Resolved,7.2,5,Yes,No,4,High,1,0,0,1
TKT10123,CUST5611,02-08-2025,Aug,8,Male,West,New,Product,Billing Query,Email,AG112,Resolved,4.8,5,No,No,3,Low,1,0,0,0
TKT10124,CUST4518,04-02-2025,Feb,2,Female,North,Premium,Finance,Delivery Delay,Email,AG111,Resolved,4.1,5,No,No,5,Low,1,0,0,0
TKT10125,CUST9943,15-08-2025,Aug,8,Female,South,New,Billing,Billing Query,App,AG114,Resolved,6,5,Yes,No,3,Medium,1,0,0,1
TKT10126,CUST3603,11-04-2025,Apr,4,Male,East,Existing,Billing,Billing Query,App,AG122,In Progress,4.9,5,No,No,4,High,0,1,0,0
TKT10127,CUST3007,11-05-2025,May,5,Female,North,Existing,IT Support,Technical Issue,Chat,AG139,Resolved,4.9,5,No,No,4,Medium,1,0,0,0
TKT10128,CUST5938,14-09-2025,Sep,9,Male,West,Existing,Sales,Product Complaint,Email,AG125,Escalated,8.7,5,Yes,Yes,4,High,0,0,1,1
TKT10129,CUST8164,05-01-2025,Jan,1,Male,East,Existing,Billing,Billing Query,Email,AG150,Pending,,5,Yes,No,3,Medium,0,1,0,1
TKT10130,CUST7353,06-08-2025,Aug,8,Male,West,New,Billing,Refund Request,App,AG104,Resolved,5.8,5,Yes,No,5,Medium,1,0,0,1
TKT10131,CUST6378,12-09-2025,Sep,9,Male,West,Existing,Delivery,Product Complaint,Email,AG113,Resolved,5.4,5,Yes,Yes,3,High,1,0,1,1
TKT10132,CUST7022,25-12-2025,Dec,12,Female,South,New,Delivery,Billing Query,Phone,AG137,Resolved,3.4,5,No,No,4,Critical,1,0,0,0
TKT10133,CUST1654,10-10-2025,Oct,10,Male,Central,Existing,Delivery,Technical Issue,Chat,AG150,Pending,,5,Yes,Yes,3,Low,0,1,1,1
TKT10134,CUST6972,26-07-2025,Jul,7,Male,South,Existing,Product,Product Complaint,Phone,AG123,Resolved,5.9,5,Yes,No,4,Medium,1,0,0,1
TKT10135,CUST9075,15-01-2025,Jan,1,Male,Central,New,IT Support,General Query,Phone,AG125,Resolved,2.7,3,No,No,4,Medium,1,0,0,0
TKT10136,CUST8242,12-12-2025,Dec,12,Female,South,Existing,Billing,Technical Issue,Chat,AG114,Resolved,5.8,5,Yes,No,3,Critical,1,0,0,1
TKT10137,CUST6515,11-02-2025,Feb,2,Female,North,Existing,Billing,Refund Request,Email,AG110,Pending,,5,Yes,No,3,Critical,0,1,0,1
TKT10138,CUST5200,28-06-2025,Jun,6,Female,West,Existing,Product,Technical Issue,Chat,AG134,Resolved,7.4,5,Yes,No,4,Medium,1,0,0,1
TKT10139,CUST8952,04-03-2025,Mar,3,Female,South,New,Delivery,Technical Issue,Phone,AG126,Resolved,4.1,5,No,No,4,Medium,1,0,0,0
TKT10140,CUST3262,18-12-2025,Dec,12,Female,East,Premium,IT Support,Delivery Delay,Chat,AG107,Resolved,9,5,Yes,No,3,Low,1,0,0,1
TKT10141,CUST6580,19-08-2025,Aug,8,Male,North,New,Finance,Delivery Delay,Chat,AG147,Resolved,5.8,5,Yes,No,4,High,1,0,0,1
TKT10142,CUST7811,29-08-2025,Aug,8,Female,East,Existing,Delivery,Billing Query,App,AG120,In Progress,5.6,5,Yes,Yes,4,Medium,0,1,1,1
TKT10143,CUST7571,21-02-2025,Feb,2,Female,Central,Premium,Billing,Billing Query,Email,AG144,Resolved,7.6,5,Yes,No,4,Low,1,0,0,1
TKT10144,CUST2467,06-04-2025,Apr,4,Male,East,New,Billing,Product Complaint,Email,AG127,Resolved,2.6,5,No,No,4,High,1,0,0,0
TKT10145,CUST8338,10-08-2025,Aug,8,Male,Central,Premium,Delivery,Technical Issue,Email,AG140,Resolved,5.3,5,Yes,No,4,Low,1,0,0,1
TKT10146,CUST5025,19-08-2025,Aug,8,Male,Central,Existing,Sales,Technical Issue,Chat,AG101,Escalated,6.2,5,Yes,Yes,3,Medium,0,0,1,1
TKT10147,CUST2407,25-08-2025,Aug,8,Female,East,Premium,Product,Technical Issue,Email,AG129,Resolved,2.6,5,No,No,4,High,1,0,0,0
TKT10148,CUST6616,23-05-2025,May,5,Male,East,Existing,Delivery,Product Complaint,Phone,AG113,Resolved,8,5,Yes,No,4,High,1,0,0,1
TKT10149,CUST6585,20-06-2025,Jun,6,Female,West,Premium,IT Support,Product Complaint,Website,AG105,Resolved,8.6,5,Yes,No,4,Medium,1,0,0,1
TKT10150,CUST6176,29-01-2025,Jan,1,Male,East,Existing,Delivery,Billing Query,Email,AG105,Resolved,3.8,5,No,No,4,Medium,1,0,0,0
TKT10151,CUST2099,05-02-2025,Feb,2,Male,East,Premium,IT Support,Product Complaint,Email,AG145,Resolved,5.8,5,Yes,No,3,High,1,0,0,1
TKT10152,CUST1988,13-01-2025,Jan,1,Female,South,New,IT Support,Product Complaint,Phone,AG139,Resolved,5.6,5,Yes,No,4,Low,1,0,0,1
TKT10153,CUST5689,09-06-2025,Jun,6,Female,South,Existing,Delivery,Account Update,Email,AG135,Resolved,5.9,3,Yes,Yes,4,Low,1,0,1,1
TKT10154,CUST4382,23-11-2025,Nov,11,Female,South,Premium,Billing,Account Update,Chat,AG120,Resolved,1.6,3,No,No,5,Low,1,0,0,0
TKT10155,CUST3064,06-07-2025,Jul,7,Female,Central,Existing,Billing,Refund Request,Email,AG130,Resolved,3.3,5,No,No,3,Low,1,0,0,0
TKT10156,CUST9177,31-08-2025,Aug,8,Female,West,Existing,Finance,Delivery Delay,Chat,AG137,Resolved,8,5,Yes,No,3,Medium,1,0,0,1
TKT10157,CUST6648,27-03-2025,Mar,3,Female,Central,New,Product,Delivery Delay,Email,AG124,Resolved,6.5,5,Yes,Yes,3,Low,1,0,1,1
TKT10158,CUST8160,11-10-2025,Oct,10,Female,Central,New,Sales,Delivery Delay,App,AG104,Resolved,4.8,5,No,No,5,Medium,1,0,0,0
TKT10159,CUST3024,07-03-2025,Mar,3,Female,Central,New,Finance,Refund Request,App,AG117,Resolved,3.9,5,No,No,4,Critical,1,0,0,0
TKT10160,CUST4957,19-06-2025,Jun,6,Male,North,New,Sales,Technical Issue,App,AG140,Escalated,10.6,5,Yes,Yes,4,Medium,0,0,1,1
TKT10161,CUST8754,14-02-2025,Feb,2,Female,Central,Existing,Billing,Billing Query,Chat,AG131,Resolved,4,5,No,No,5,Medium,1,0,0,0
TKT10162,CUST9060,03-03-2025,Mar,3,Female,West,New,Billing,Account Update,Phone,AG145,Resolved,0.5,3,No,No,4,Medium,1,0,0,0
TKT10163,CUST3833,14-05-2025,May,5,Male,South,Premium,Finance,Refund Request,App,AG147,Resolved,7.8,5,Yes,No,4,Medium,1,0,0,1
TKT10164,CUST1162,11-10-2025,Oct,10,Male,West,Existing,IT Support,Billing Query,Chat,AG138,Resolved,4.2,5,No,No,4,Medium,1,0,0,0
TKT10165,CUST1922,28-01-2025,Jan,1,Male,South,New,Delivery,Delivery Delay,Email,AG145,In Progress,7.1,5,Yes,Yes,4,Low,0,1,1,1
TKT10166,CUST5732,18-04-2025,Apr,4,Female,South,New,Delivery,Account Update,Website,AG129,Resolved,4,3,Yes,No,2,Low,1,0,0,1
TKT10167,CUST5042,13-02-2025,Feb,2,Male,North,Existing,Billing,Billing Query,Website,AG102,Resolved,1.9,5,No,No,4,Medium,1,0,0,0
TKT10168,CUST5305,06-12-2025,Dec,12,Male,East,Existing,Product,Billing Query,App,AG102,Resolved,2.1,5,No,No,4,Low,1,0,0,0
